Phone Number,Project,Description,URL,Last Modified Date,Last Modified By,Transfer Prompt,Error Prompt,Backup Transfer Destination,Recovery URL,Recovery URL (alt),Reporting Group,Time Zone,Call Type,Service Combination,Contract,Environment,Outbound Web Account,Allow Blind Transfers,Traffic Plan,Routing notes,Utterance Capture,Logging (Dev),Logging (VXML),Logging (VXML Warnings),VXML Revision,VXML Update,DTMF Only,Call Field,Call Expression,Call Action,Max Live Calls,Extranet Applications,Exclude Billing,% Whole Calls Recorded,Play in browser?,IDM Events,IDM Events VXML Flow,State name
866-287-4072,247 Speech Platform Dev,This goes to desc7610,http://error.vui.en-us.tellme.com/someurl1716.vxml,Jun 08 2020 07:00,raviteja.vaadakattu raviteja.vaadakattu,,,687-656-0011,http://error.vui.en-us.tellme.com/someurl12212.vxml,http://error.vui.en-us.tellme.com/someurl16357.vxml,TestGroup40325,GMT,Inbound VXML,AT&T TDM (Integrated)  -->  Microsoft DNN Speech Engine (stable sv2),Tellme Dev,Stable SV2,,True,Seshu_test_traffic_plan,,False,True,True,True,,,False,"",,"",,,True,46.0,False,True,False,inactive
866-322-6993,247 Speech Platform Dev,Safelite  Dev,http://virt-asst-content-stable.api.247-inc.net/v1/virtualagents/clients/farmers/applications/efnol/voice/current/main.vxml,Jun 08 2020 07:00,raviteja.vaadakattu raviteja.vaadakattu,,,"",,,,GMT,Inbound VXML,AT&T TDM (Integrated)  -->  Microsoft DNN Speech Engine (stable sv2),247 Speech Platform Dev,Stable SV2,,True,dialog-ASR_MS_DNN,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,True,inactive
877-237-7335,247 Speech Platform Dev,New Sessionizer test,http://virt-asst-content-stable.api.247-inc.net/v1/virtualagents/clients/stericycle/applications/general/voice/20200224T0230/main.vxml,Jun 08 2020 07:00,raviteja.vaadakattu raviteja.vaadakattu,,,"",,,,GMT,Inbound VXML,AT&T TDM (Integrated)  -->  Microsoft DNN Speech Engine (stable sv2),247 Speech Platform Dev,Stable SV2,,True,Platform_QA_8772377335,,False,True,True,True,,,False,"",,"",,,True,0.0,False,True,True,inactive
888-696-6546,247 Speech Platform Dev,EM Demo App,http://anvil.tellme.com/~ashwin/247demo/em_demo.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",http://chainsaw.tellme.com/~ashwin/247demo/em_demo.vxml,http://devnet.tellme.com/~ashwin/247demo/em_demo.vxml,XProject Test,GMT,Inbound VXML,AT&T TDM (Integrated)  -->  Nuance Speech Engine (stable sv2),Tellme Dev,Stable SV2,,True,dialog-GP,,True,True,True,True,,,False,"",,"",,,False,0.0,False,True,True,active
ccapp@247-speech-platform-dev.tellme-internal.sip.tellme.com,247 Speech Platform Dev,,http://error.vui.en-us.tellme.com/placeholder.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Call Control,Tellme Internal   -->  CCAS (plat qa),1/247CallerVerification,Plat QA,,True,CCXML-GP,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
ccapp@dialog.poptest6.tellme-dev.sip.tellme.com,247 Speech Platform Dev,Linux telpod perf testing,http://devnet.tellme.com/~jjacob/inbound.ccxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,America/Los_Angeles,Call Control,Tellme Internal   -->  CCAS (stable sv2),Tellme QA - Platform,Stable SV2,,True,CCXML-GP,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@18552023247.bandwidth.sip.tellme.com,247 Speech Platform Dev,Bandwidth network testing,http://anvil.tellme.com/~eking/development/vxml/dvoip-interop2.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Inbound VXML,Tellme Internal   -->  Microsoft DNN Speech Engine (stable sv2),247 Speech Platform Dev,Stable SV2,,True,dialog-ASR_MS_DNN,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@247-speech-platform-dev.att.sip.tellme.com,247 Speech Platform Dev,,http://error.vui.en-us.tellme.com/placeholder.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Inbound VXML,AT&T TDM   -->  Nuance Speech Engine (plat qa),testsc,Plat QA,,True,dialog-GP,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@247.speech.platform.dev.vendor.com.notifier.sip.tellme.com,247 Speech Platform Dev,,Not applicable,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Outbound Web,Microsoft Speech Engine  -->  Sonus-GW-Outbound-ATT2 (stable sv2),1/247CallerVerification,Stable SV2,247.speech.platform.dev.vendor.com,True,sonus-p193-stable-outbound2,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@7010001.marriott.sip.tellme.com,247 Speech Platform Dev,eking voip testing - Marriott Singapore,http://megaman.tellme.com/~eking/development/vxml/compilecheck-2.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Inbound VXML,Tellme Internal   -->  Microsoft DNN Speech Engine (stable sv2),247 Speech Platform Dev,Stable SV2,,True,dialog-ASR_MS_DNN,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@8005551212.vzb-iptf.sip.tellme.com,247 Speech Platform Dev,,http://error.vui.en-us.tellme.com/placeholder.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,America/Los_Angeles,Inbound VXML,Tellme Internal   -->  Microsoft Speech Engine (stable sv2),247 Speech Platform Dev,Stable SV2,,True,dialog-ASR_MS,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@90719900.alight.sip.tellme.com,247 Speech Platform Dev,eking voip testing - Alight,http://megaman.tellme.com/~eking/development/vxml/compilecheck-2.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,Ning-error.wav,"",,,,America/Los_Angeles,Inbound VXML,Tellme Internal   -->  Microsoft DNN Speech Engine (stable sv2),247 Speech Platform Dev,Stable SV2,,True,dialog-ASR_MS_DNN,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
dialog@90719901.alight.sip.tellme.com,247 Speech Platform Dev,eking voip testing - Alight,http://megaman.tellme.com/~eking/development/vxml/compilecheck-2.vxml,Jun 02 2020 07:00,Polinaidu Gottapu kin,,,"",,,,GMT,Inbound VXML,Alight VoIP   -->  Microsoft DNN Speech Engine (stable sv2),247 Speech Platform Dev,Stable SV2,,True,dialog-ASR_MS_DNN,,False,True,True,True,,,False,"",,"",,,False,0.0,False,True,False,active
